"Najpogostejši vzrok smrti po spolu, statistiène regije, Slovenija, letno"

"SPOL";"STATISTIÈNA REGIJA";"2002 Vzrok smrti Vzrok smrti - SKUPAJ";"2003 Vzrok smrti Vzrok smrti - SKUPAJ";"2004 Vzrok smrti Vzrok smrti - SKUPAJ";"2005 Vzrok smrti Vzrok smrti - SKUPAJ";"2006 Vzrok smrti Vzrok smrti - SKUPAJ";"2007 Vzrok smrti Vzrok smrti - SKUPAJ";"2008 Vzrok smrti Vzrok smrti - SKUPAJ";"2009 Vzrok smrti Vzrok smrti - SKUPAJ";"2010 Vzrok smrti Vzrok smrti - SKUPAJ";"2011 Vzrok smrti Vzrok smrti - SKUPAJ";"2012 Vzrok smrti Vzrok smrti - SKUPAJ";"2013 Vzrok smrti Vzrok smrti - SKUPAJ";"2014 Vzrok smrti Vzrok smrti - SKUPAJ";"2015 Vzrok smrti Vzrok smrti - SKUPAJ";"2016 Vzrok smrti Vzrok smrti - SKUPAJ";"2017 Vzrok smrti Vzrok smrti - SKUPAJ";"2018 Vzrok smrti Vzrok smrti - SKUPAJ";"2019 Vzrok smrti Vzrok smrti - SKUPAJ";"2020 Vzrok smrti Vzrok smrti - SKUPAJ";"2021 Vzrok smrti Vzrok smrti - SKUPAJ"
"Spol - SKUPAJ";"SLOVENIJA";18701;19451;18523;18825;18180;18584;18308;18750;18609;18699;19257;19334;18886;19834;19689;20509;20485;20588;24016;23261
"Spol - SKUPAJ";"Pomurska";1429;1509;1382;1422;1318;1338;1337;1377;1318;1411;1335;1366;1368;1353;1361;1376;1401;1462;1705;1560
"Spol - SKUPAJ";"Podravska";3113;3328;3168;3268;3206;3205;3161;3126;3165;3275;3207;3358;3131;3476;3398;3544;3603;3452;4184;4067
"Spol - SKUPAJ";"Koroška";654;679;680;701;675;652;681;670;652;738;672;693;660;701;731;689;704;762;871;802
"Spol - SKUPAJ";"Savinjska";2555;2598;2463;2349;2344;2299;2365;2425;2413;2367;2564;2462;2420;2521;2476;2643;2526;2529;3080;3040
"Spol - SKUPAJ";"Zasavska";513;477;496;536;459;443;465;451;484;502;480;515;500;608;619;637;614;615;706;761
"Spol - SKUPAJ";"Posavska";768;753;762;720;748;776;736;763;796;756;812;779;771;835;860;812;839;823;940;956
"Spol - SKUPAJ";"Jugovzhodna Slovenija";1315;1354;1271;1316;1214;1374;1237;1375;1297;1317;1358;1354;1348;1425;1391;1464;1514;1464;1703;1628
"Spol - SKUPAJ";"Osrednjeslovenska";3963;4210;4051;4126;4041;4021;3983;4061;4080;4073;4289;4247;4162;4270;4155;4504;4470;4595;5316;5185
"Spol - SKUPAJ";"Gorenjska";1631;1708;1612;1626;1546;1742;1675;1695;1715;1654;1691;1754;1730;1774;1764;1925;1875;1906;2299;2058
"Spol - SKUPAJ";"Primorsko-notranjska";552;569;493;541;498;546;545;519;535;465;557;520;560;566;559;557;559;605;649;622
"Spol - SKUPAJ";"Goriška";1221;1243;1168;1235;1184;1179;1215;1252;1155;1156;1288;1265;1260;1266;1296;1310;1244;1287;1354;1396
"Spol - SKUPAJ";"Obalno-kraška";987;1023;977;985;947;1009;908;1036;999;985;1004;1021;976;1039;1079;1048;1136;1088;1209;1186
